Từng cặp một	一一对
Tấm vuông kết hợp	合方板
Sản phẩm đạt tiêu chuẩn	合格品
Tỷ lệ đậu	合格率
Những người có đủ điều kiện	合格者
Giấy chứng nhận đủ điều kiện	合格证
Cây Albizia	合欢树
Vỏ cây Albizia	合欢皮
Tính trên mỗi cổ phiếu	合每股
Aikido	合气道
Hợp pháp hóa	合法化
Tính hợp pháp	合法性
Quyền hợp pháp	合法权
Nơi hội tụ	合流处
Hợp lý hóa	合理化
Tính hợp lý	合理性
Synbiotics	合生元
Nhà ở chung	合租房
Tính liên kết	合群性
Kết hợp với nhau	合而成
Kết hợp sử dụng	合而用
Thành phố Hợp Phì	合肥市
Các nhà liên doanh	合营者
Việc tuân thủ	合规性
Phiên bản đóng	合订本
Hệ thống đại học	合议制
Hội đồng tập thể	合议庭
Kết hợp tốc độ	合速度
Dây hợp kim	合金丝
Hợp kim hóa	合金化
Ống hợp kim	合金管
Bột hợp kim	合金粉
Thép hợp kim	合金钢
Giddins	吉丁斯
Jiwangi	吉万吉
Ông Givan cho biết	吉万说
Ji Chuxi	吉丘希
Gilligil.	吉丽吉
Gilina.	吉丽娜
Đảo Jusco	吉之岛
Yoshihiro	吉井洋
Giane	吉亚内
Gia Sơn	吉亚宗
Gia Võ	吉亚沃
Giama.	吉亚玛
Giava	吉亚瓦
Giasi	吉亚西
Gishka.	吉什卡
Giải thưởng Gish	吉什奖
Jiren Bun	吉仁邦
Nghệ sĩ ghita	吉他手
Ông Quý cho biết,	吉伊说
Gillen là	吉伦是
Gironde.	吉伦特
Gillen cho biết	吉伦说
Gillon thủ vai	吉伦饰
Gizoni	吉佐尼
Giverney.	吉佛尼
Gikpa.	吉克帕
Gix	吉克斯
Jikso	吉克索
Kelantan	吉兰丹
Gilanda	吉兰达
Gizia	吉兹亚
Gizil	吉兹尔
Gizmi	吉兹米
Gineta	吉内塔
Gineba	吉内巴
Gilev	吉列夫
Jigaron	吉加隆
Ginuvin	吉努温
Girous.	吉劳斯
Giraudu	吉劳杜
Thị trấn Cát Bộ	吉博镇
Kibland	吉卜兰
Ghibli	吉卜力
Ghibni	吉卜尼
Kipling	吉卜林
Sông Gibb	吉卜河
Giới giang hồ	吉卜赛
Ghibri	吉卜里
Jikasai	吉卡赛
Gilluli	吉卢利
Gifaro.	吉发罗
Gigul	吉古尔
Jijiga	吉吉加
Huyện Cát Lái	吉吉区
Gigi đang ở trong	吉吉在
Gigi Gib	吉吉布
Gigi là	吉吉是
Gigi có	吉吉有
Gigi Gậy.	吉吉棒
Jijigan	吉吉甘
Gigi mặc	吉吉穿
Gigi cho biết	吉吉说
Jijih	吉吉赫
Ji và Ku	吉和库
Giehos.	吉和斯
Ji và Na	吉和纳
Ji và Sa	吉和萨
Gihammer.	吉哈默
Geeva	吉埃娃
Sau khi thành phố Cát	吉城后
Giseppe	吉塞佩
Gisek.	吉塞克
Gisenyi	吉塞尼
Gicep.	吉塞普
Chittagong	吉大港
Giffney	吉夫尼
Gifhan	吉夫汉
Giquillo	吉奎洛
Giốc	吉奥克
Giol	吉奥尔
Gioni.	吉奥尼
Chihuahua	吉娃娃
Ginavi	吉娜维
Thành phố Kỳ Anh	吉安市
Vịnh Cát Bà	吉宝湾
Gibbins	吉宾斯
Ji sẽ	吉将会
Gilding	吉尔丁
Gilwan.	吉尔万
Gildan	吉尔丹
Jill đã đóng góp cho	吉尔为
Gil Jo.	吉尔乔
Gil ở	吉尔于
Gil nổi tiếng với	吉尔以
Jill sẽ	吉尔会
Gilber.	吉尔伯
Gilga	吉尔伽
Jill sống ở	吉尔住
Gilk.	吉尔克
Gilland	吉尔兰
Gilz	吉尔兹
Jill đã viết	吉尔写
Gilly.	吉尔利
Gilga	吉尔加
Gilbo.	吉尔博
Jill, đi thôi.	吉尔去
Jill và	吉尔及
Gilgu	吉尔古
Gilgil.	吉尔吉
Gil đã gửi lời hỏi thăm tới	吉尔向
Gil In	吉尔因
Gilky.	吉尔基
Jill đã nói đúng.	吉尔对
Gilbar.	吉尔巴
Gilb	吉尔布
Gilpin	吉尔平
Gilder	吉尔德
Gilgo.	吉尔戈
Gilto	吉尔托
Gilmore.	吉尔摩
Gilvin	吉尔文
Giles	吉尔斯
Gilsch	吉尔施
Khi Jill	吉尔时
Jill là	吉尔是
Gillp	吉尔普
Gilman.	吉尔曼
Jill có	吉尔有
Gilson.	吉尔松
Gillin	吉尔林
Gilgen	吉尔根
Gilmay	吉尔梅
Gilson.	吉尔森
Jill đã chết.	吉尔死
Gilbo	吉尔波
Gilzer	吉尔泽
Gillo	吉尔洛
Gilt	吉尔特
Gilma.	吉尔玛
Gilgan	吉尔甘
Jill đã sử dụng	吉尔用
Gilguet.	吉尔盖
Gilford.	吉尔福
Gilko	吉尔科
Gil cho biết	吉尔称
Jill cười	吉尔笑
Gilmie.	吉尔米
Gilso	吉尔索
Gil kể từ khi	吉尔自
Gilmore.	吉尔莫
Gilty.	吉尔蒂
Gilphon	吉尔蓬
Phố Gil	吉尔街
Gil cho biết	吉尔说
Gilbert	吉尔贝
Đường Jill	吉尔路
Gilda.	吉尔达
Gil Dao	吉尔道
Gilly.	吉尔里
Thị trấn Gil	吉尔镇
Đội Jill	吉尔队
Gilley.	吉尔雷
Gilma.	吉尔马
Gil Mai.	吉尔麦
Gilmer.	吉尔默
Ginivan.	吉尼万
Gini.	吉尼则
Ginich	吉尼奇
Kỷ lục Guinness	吉尼斯
Điểm Gini.	吉尼点
Ginima.	吉尼玛
Gini cho biết	吉尼说
Cây thông Yoshijima	吉岛松
Gibaco	吉巴科
Gibb trong	吉布于
Gibney	吉布尼
Gibshey	吉布希
Djibouti	吉布提
Gibbs	吉布斯
Gibson	吉布松
Giblin	吉布林
Gibson	吉布森
Jikuyu	吉库尤
Người Gid	吉德人
Ngày Gideh	吉德日
Gidety.	吉德蒂
Gidley.	吉德雷
Cát Đức Long	吉德龙
Gigod	吉戈德
Gito cho	吉托为
Girau	吉拉乌
Giral	吉拉尔
Gilani	吉拉尼
Gillard.	吉拉德
Giralin	吉拉林
Gilardi	吉拉迪
Gitiya.	吉提雅
Ji Fang mong muốn	吉方愿
Ji Chun nổi tiếng với	吉春以
Giới giang hồ	吉普赛
Xe Jeep	吉普车
Luật Yoshimura	吉村法
Jijel	吉杰勒
Thành phố Cát Lâm	吉林市
Tỉnh Cát Lâm	吉林省
Giggs	吉格斯
Jigme	吉格梅
Gimea.	吉梅亚
Gimeta	吉梅塔
Jimmel	吉梅尔
Jimet.	吉梅特
Gimena.	吉梅纳
Jimesi.	吉梅西
Gimeno.	吉梅诺
Thành phố Giessen	吉森市
Giesens.	吉森斯
Thị trấn Kỳ Sơn	吉森镇
Cát Thị Ba	吉氏巴
Cát Thị Kim	吉氏金
Givodan	吉沃丹
Giwalk.	吉沃克
Giwaukee	吉沃基
Givoni	吉沃尼
Giward.	吉沃德
Gishal	吉沙尔
Jizhi Rock	吉治岩
Gifari	吉法利
Yoshizawa trong	吉泽在
Gizem	吉泽姆
Gizel	吉泽尔
Gizera	吉泽拉
Masashi Yoshizawa	吉泽正
Ông Yoshizawa cho biết	吉泽说
Gizeru.	吉泽鲁
Gillom	吉洛姆
Gilo là	吉洛是
Gilotin	吉洛汀
Gilot	吉洛特
Gilo sử dụng	吉洛用
Gillo cho biết	吉洛说
Ginev	吉涅夫
Gittens	吉滕斯
Ji Aier	吉爱儿
Giva đã tạo điều kiện thuận lợi cho	吉瓦为
GW giờ	吉瓦时
Yoshida Toyotomi	吉田丰
Nhà Yoshida	吉田屋
Thành phố Cát Tiên	吉田市
Shigeru Yoshida	吉田茂
Yoshida Ma	吉田麻
Gidenna.	吉登娜
Giddens.	吉登斯
Gidenner.	吉登纳
Cadbury	吉百利
Jizuwa	吉祖瓦
Đền thờ linh vật	吉祥寺
Linh vật	吉祥物
Giffords	吉福兹
Gifoni.	吉福尼
Gifford	吉福德
Gifforti.	吉福蒂
Jimir	吉米尔
Gisona	吉索纳
Jiyom	吉约姆
Người Gina	吉纳人
Ginar	吉纳尔
Ginard.	吉纳德
Ginus	吉纳斯
Ginut	吉纳特
Ginavi	吉纳维
Ginac	吉纳茨
Giveni	吉维尼
Vịnh Cát Mỹ	吉美湾
Guimei cho biết	吉美说
Gieekay	吉耶凯
Giev	吉耶夫
Jiyeh	吉耶赫
Gittens.	吉腾斯
Gieshubi.	吉舒比
Gielle.	吉艾尔
Giffty.	吉芙蒂
Gilina.	吉莉娜
Gillian.	吉莉安
Tỉnh Giza	吉萨省
Kitty đóng góp cho	吉蒂为
Quixote	吉诃德
Gino trong	吉诺于
Ginov	吉诺夫
Gia đình Gino	吉诺家
Gino có	吉诺有
Gibel.	吉贝尔
Giraibo.	吉赖博
Giselle.	吉赛尔
Cảng Jizan	吉赞港
Tỉnh Jizan	吉赞省
Giesin đã đóng góp cho	吉辛为
Làng Cát Sinh	吉辛村
Gizinine	吉辛碱
Gissin cho biết	吉辛说
Cảng Jeddah	吉达港
Gidea.	吉迪亚
Gidish.	吉迪什
Gidir	吉迪尔
Gidini	吉迪尼
Gideon.	吉迪恩
Gidice.	吉迪斯
Gideon.	吉迪昂
Gideon.	吉迪翁
Giriel	吉里耶
Yoshinoya	吉野家
Yoshinokawa	吉野川
Gichinga	吉钦加
Kuala Lumpur	吉隆坡
Bãi biển Cát Long	吉隆滩
Giraeli	吉雷利
Gireese.	吉雷塞
Gilesi.	吉雷西
Giveni	吉韦尼
Kim Chi	吉驰针
Giroud cho	吉鲁为
Giroud lại	吉鲁再
Girouli	吉鲁利
Girouin	吉鲁因
Giroud đã có mặt tại	吉鲁在
Giroud sẽ	吉鲁将
Giroud	吉鲁德
Giroune	吉鲁恩
Giroud, nghe đây.	吉鲁接
Giroud là	吉鲁是
Girout	吉鲁特
Giroudi	吉鲁第
Giroud cho biết	吉鲁说
Jimmerson.	吉默森
Treo xuống!	吊下来
Áo yếm	吊带衫
Vớ treo	吊带袜
Váy treo	吊带裙
Quần yếm	吊带裤
Treo đầu	吊得头
Treo trên	吊挂在
Treo bóng trượt	吊滑球
Kiểu chó treo cổ	吊狗式
Thắt dây nịt	吊索具
Nhà sàn	吊脚楼
Thắt lưng tất	吊袜带
Treo lên!	吊起来
Phương thức nâng hạ	吊运法
Thu hồi nó	吊销其
Cùng một	同一个
Cùng ngày,	同一天
Bản sắc	同一性
Đồng thời,	同一时
Tương tự như Thượng Hải	同上合
Cùng nhiệm kỳ tới	同下任
Cùng không chịu	同不受
Đồng Khởi xây dựng	同不建
Với hai nước	同两国
Cùng hai đại	同两大
Cùng hai tòa án	同两庭
Cùng hai dân tộc	同两族
Cùng là hiện tại	同为现
Cùng nghi ngờ	同为疑
Từ đồng nghĩa	同义字
Từ đồng nghĩa	同义词
Từ đồng nghĩa	同义语
Những điểm tương đồng	同之处
Câu lạc bộ Đồng Lộc	同乐会
Hội đồng hương	同乡会
Cùng Á-Phi	同亚非
Mái tóc của người hâm mộ	同人发
Cùng nhân văn	同人道
Cùng bài ngoại	同仇外
Những người cùng thế hệ	同代人
Cùng một mức giá	同价位
TÙNG VIỆT LIÊN	同伊黎
Cùng một chiếc ô	同伞式
Đồng vị	同位素
Góc ứng dụng	同位角
Những người sống chung	同住者
Lớp học đồng dư	同余类
Cùng với Nhà nước Wa	同佤邦
Đồng tài trợ	同供资
Các đồng tu	同修们
Cùng tên với Karen	同克伦
Cùng một vòng tròn	同全环
Tương tự như vậy	同其为
Làm việc với nó	同其作
Đồng Nông Phát triển	同农发
Tòa án hình sự cùng	同刑院
Thương nhân đồng hóa	同化商
ĐỒNG TRẦN NAM	同南南
Cùng với Erley	同厄利
Thay đổi kép giống nhau	同双变
Cùng phát triển nghiên cứu	同发研
Cùng cỡ nòng	同口径
Loại đồng nhất	同合型
Cùng chung nhịp thở	同呼吸
Cùng chung số phận	同命运
Các doanh nghiệp kinh doanh cùng	同商企
Cùng doanh nghiệp	同商营
Cùng quản trị tốt	同善政
Tống Sơn Chí	同善治
Cùng một mô hình	同型号
Đội Đông Thành	同城队
Đồng thanh truyền	同声传
Cùng nhiều quốc gia	同多国
Đồng Nai	同奈省
Hội bạn cùng lớp	同学会
Hồ sơ bạn học	同学录
Các điểm đồng nhất	同宿点
Người sống thử	同居人
Isoenzyme	同工酶
Đồng chí Ba Yi	同巴以
Cùng với Gbagbo	同巴博
Cùng lớp	同年级
Cùng độ tuổi	同年龄
Tương tự như vậy trong	同应于
Những người cùng ngồi	同座者
Từ đồng âm	同形词
Vòng tròn đồng tâm	同心圆
Ðồng chí sẽ	同志会
Đồng tính luyến ái	同性恋
Đồng tính luyến ái	同性爱
Đồng dâm	同恋童
Chùa Đồng Ngọc	同恩塔
Lòng nhân ái	同情心
Những người đồng cảm	同情者
Thư đồng ý	同意书
Quyền đồng ý	同意权
Cùng được liệt kê	同所列
Cùng một quyết định	同所定
Cùng tên	同所称
Cùng mong muốn	同所要
Tính đồng nhất	同手性
Hợp tác kỹ thuật với	同技合
Cùng Công nghệ và Kinh tế	同技经
Cùng được cho là	同据信
Cùng một bức thư	同文信
Cùng một bức thư	同文函
Đồng Văn Lai	同文来
Cùng thành lập mới	同新设
Cùng hướng	同方向
Những người cùng thời	同时代
Đồng thời	同时性
Tương tự như vậy nên	同本应
Đồng bào dân tộc	同本族
Trọng Duật	同杜特
Thông tin liên lạc với	同来文
Chứng nhận giống nhau	同核证
Đồng phạm	同案犯
Cùng cấp độ	同档次
đồng bộ hóa	同步化
Bộ đồng bộ hóa	同步器
đồng bộ đai	同步带
Sự đồng bộ	同步性
Máy đồng bộ	同步机
Tỷ lệ đồng bộ	同步率
Những người theo chủ nghĩa Mao	同毛派
Đồng Minh giải	同民解
Thành phố Đông Giang	同江市
Giống như Walker.	同沃克
Cùng với bức Tường.	同沃尔
Đồng Võ Long	同沃龙
Ngoài pháp luật	同法外
Cùng Zeman	同泽曼
Người tắm chung	同浴者
Đồng Hỷ Long	同海隆
Tầng bình lưu	同温层
Sự tương đồng	同源性
Cùng đường thủy triều	同潮线
Vận may Đồng Xoài	同爱运
Cùng một làn sóng đặc biệt	同特波
Cùng vui buồn	同甘苦
TÙNG KIỂM VĂN	同监文
Hội Liên hiệp các dân tộc	同盟会
Lực lượng Đồng minh	同盟军
Đồng minh	同盟国
Các đồng minh	同盟者
Cùng pha và	同相且
Trong khi pha	同相时
Cùng nghiên cứu, đào tạo	同研训
Đồng loại	同种型
Đồng đẳng	同系物
Sự khác biệt	同素异
Cơ thể giống nhau	同线体
Cùng dòng màu xanh lá cây	同绿线
Cùng Roma	同罗姆
Đồng Mỹ	同美属
Homoptera	同翅目
Đồng bào cả nước	同胞们
Cùng với Houthi	同胡塞
Hệ thống đồng màu	同色系
Thẳng thắn	同花顺
Gạo Đồng Văn	同范米
Cùng với phía Philippines	同菲方
Cùng Sa Cô	同萨科
Cùng đội mũ bảo hiểm xanh	同蓝盔
Cùng ngành nghề	同行业
Những người đi cùng	同行者
Hoàng đế Đông Tây	同西帝
Đồng quan điểm	同视机
Nhóm tương đồng	同调群
Đồng phạm	同谋犯
Những kẻ đồng lõa	同谋者
Cùng với Google	同谷歌
Tính đồng nhất	同质化
Tính đồng nhất	同质性
Đồng tài trợ	同资发
Những người bạn đồng hành	同路人
Đường đồng trục	同轴线
Cùng trình bày	同载述
Cùng nợ nần chồng chất	同重债
Với Liên minh châu Phi	同非盟
Cùng với Phi Sơn	同非索
Từ đồng âm	同音字
Từ đồng âm	同音词
Những người ăn cùng	同餐者
Các bạn đồng trang lứa	同龄人
Bí thư thứ nhất	名一秘
Tên từ một đến	名一至
Tên Dinka	名丁卡
Bí thư thứ ba	名三秘
Không phân biệt tên	名不分
Không có tên	名不带
Tên tuổi bất đắc dĩ	名不愿
Trong tên gọi chỉ	名中仅
Tên trung vị	名中位
Danh sách các tên	名之列
Có bao nhiêu tên tuổi	名之多
Người đứng đầu danh	名之首
Tên Lego	名乐高
Tên từ năm đến	名五至
Đại sảnh Danh vọng	名人堂
Who's Who's Who	名人录
Giải đấu danh giá	名人赛
Tên là Erie.	名伊黎
Tên Lendu	名伦杜
Tên Bernie.	名伯尼
Nhà văn nổi tiếng	名作家
Tên người Nga	名俄裔
Người bảo vệ danh tiếng	名保族
Nợ danh nghĩa	名债役
Tên tuổi đi trước	名先发
Tên là Karen.	名克伦
Tên toàn thời gian	名全时
Tên từ sáu đến	名六至
Tên Nepper.	名内珀
Hội chợ Vanity	名利场
Tên Mặt trận	名前斯
Kendo nổi tiếng	名剑道
Tên gọi Calais	名加来
Tên thiên niên kỷ	名千禧
Công việc bán thời gian	名半职
Blogger nổi tiếng	名博主
Tên Boca.	名博卡
Tên Boko	名博科
Tên hai bên	名双侧
Tên tuổi chống Mỹ	名反美
Nagoya	名古屋
Cùng tên với nhà tù	名同狱
Tên và mặt trận	名和前
Tên và sau	名和后
Tên và họ	名和姓
Tên và Luật	名和法
Tên bốn đến	名四到
Người Thổ Nhĩ Kỳ nổi tiếng	名土裔
Người Síp nổi tiếng	名塞人
Tên người Serbia	名塞裔
Tên Sehiro	名塞黑
Tiếp cận tên tuổi	名外展
Những cái tên hầu hết là	名多为
Tên tuổi đa quốc gia	名多国
Tên tuổi sinh viên năm nhất	名大一
Tên tuổi bị mất liên kết	名失联
Tên của Orsay	名奥赛
Nông dân chăn nuôi bò sữa nổi tiếng	名奶农
Vé mùa nổi tiếng	名季票
Viện trợ An ninh	名安援
Ủy ban cán sự	名官委
Tên trước khi xét xử	名审前
