Một chút thôi.	一下
Trình bày	呈交
Đệ trình	呈件
Báo cáo	呈报
Trình bày	呈文
Trình bày	呈现
Nghỉ phép	告假
Vĩnh biệt	告别
Báo cáo	告发
Thất bại.	告吹
Người cung cấp thông tin	告密
Lời tỏ tình	告白
Thông báo	告知
Bị phá vỡ	告破
Thông báo	告示
Kết thúc rồi.	告终
Hết rồi.	告罄
Nói với	告诉
Cảnh báo	告诫
Bị thua thiệt	告负
Furan	呋喃
Tiếng kêu	呐喊
Nôn mửa	呕吐
Hội đồng thành viên	员会
Người lao động	员工
Bài viết	员额
Nghẹt thở.	呛到
Tiếng thút thít	呜咽
Mũ phớt	呢帽
Thứ hai	周一
Thứ tư	周三
Giữa tuần	周中
Thứ ba	周二
Thứ sáu	周五
Hội nghị tuần	周会
Thứ bảy	周六
Trong tuần lễ	周内
Tuần báo	周刊
Chu đáo, chu đáo.	周到
Sau một tuần	周后
Châu, Châu	周周
Thứ năm	周四
Chung quanh	周围
Đại học Châu Thành	周大
Một năm tuổi	周岁
Ngày kỷ niệm	周年
Báo cáo hàng tuần	周报
Số tuần	周数
Đối phó với	周旋
Chủ nhật	周日
Chu kỳ	周期
Cuối tuần qua	周末
Được biết,	周知
Lương tuần	周薪
Doanh thu	周转
Khu vực xung quanh	周边
Chu vi	周长
Bột ngọt	味精
Vị giác	味蕾
Vị giác	味觉
Vị giác	味道
Rên rỉ	呻吟
Cuộc gọi	呼叫
Dấu hiệu cuộc gọi	呼号
Lời kêu gọi	呼吁
Hít thở	呼吸
Lời kêu gọi	呼唤
Tiếng huýt sáo	呼啸
Tiếng kêu	呼喊
Ngáy	呼噜
Lời kêu gọi	呼声
Tiếng vọng	呼应
Kêu cứu	呼救
Thở ra	呼气
Những cú đánh	命中
Mệnh lệnh	命令
Đặt tên cho	命名
Vụ án giết người	命案
Mạch máu	命脉
Số phận	命运
Đề xuất	命题
Nhai	咀嚼
Tiếng gầm rú	咆哮
Và Hiệp hội	和协
Và các quận, huyện	和县
Và Nhà nước	和国
Và hướng dẫn	和导
Nhà sư	和尚
Và vải	和布
Hòa bình	和平
Hợp âm	和弦
Và kỹ thuật	和技
Và Văn	和文
Áo kimono	和服
Và máy móc	和机
Và nguồn	和源
Sự hòa hợp	和睦
Còn Cheng	和程
Nhân hậu	和蔼
Và hàng	和行
Hòa giải	和解
Các cuộc đàm phán hòa bình	和谈
Sự hài hòa	和谐
Và vốn	和资
Câu thần chú	咒语
Những lời nguyền rủa	咒骂
Lẩm bẩm	咕哝
Gollum.	咕噜
Cà phê	咖啡
Cà ri	咖喱
Gốc cà phê	咖根
Gate	咖特
Tham khảo ý kiến	咨商
Thông điệp của	咨文
Tham khảo ý kiến	咨询
Mimi.	咪咪
Imidazole	咪唑
Cắn người	咬人
Vết cắn	咬伤
Cắn đứt	咬断
Vết cắn	咬痕
Ho	咳嗽
Ho ra máu	咳血
Nước mặn	咸水
Hầu họng	咽部
Nỗi buồn	哀伤
Than khóc	哀号
Than thở	哀叹
Tiếng rên rỉ	哀嚎
Nỗi buồn	哀思
Lời chia buồn	哀悼
Lời than thở	哀歌
Tiếng rên rỉ	哀鸣
Hương vị	品位
Tên sản phẩm	品名
Vị giác	品味
Nếm thử	品尝
Tính cách đạo đức	品德
Nhân vật	品格
Xây dựng thương hiệu	品牌
Các giống	品种
Danh mục	品类
Các dòng	品系
Pint	品脱
Nếm trà	品茶
Chất lượng	品质
Nếm thử rượu	品酒
Hà Tĩnh	哈丁
Hardy.	哈代
Harlan.	哈伦
Harvard	哈佛
Huck.	哈克
Harry.	哈利
Hà Lê	哈勒
Habo.	哈博
Haka	哈卡
Haha.	哈哈
Huff.	哈夫
Hatch	哈奇
Hamm.	哈姆
Hana.	哈娜
Hal	哈尔
Hani.	哈尼
Hách	哈希
Hatcher.	哈彻
Hard	哈德
Hahn.	哈恩
Hara.	哈拉
Hà Văn	哈文
Haas	哈斯
Harman.	哈曼
Hà Ben	哈本
Hà Linh	哈林
Hagen	哈根
Hager.	哈格
Hassan.	哈桑
Ngáp dài	哈欠
Harlow.	哈洛
Hart.	哈特
Harper.	哈珀
Harden.	哈登
Harvey.	哈维
Xin chào!	哈罗
Hafen	哈芬
Haffee	哈菲
Hà Mòn	哈蒙
Hardy.	哈迪
Harry.	哈里
Hà Kim	哈金
Halley.	哈雷
Hatton.	哈顿
Hama	哈马
Hammer.	哈默
Hạ Long	哈龙
Piperidin	哌啶
Piperazine	哌嗪
Âm vang	响亮
Tiếng ồn ào	响声
Đáp ứng	响应
Tiếng chuông ngân vang	响起
Rất tiếc.	哎呀
Kịch câm	哑剧
Những người câm	哑巴
Những kẻ ngu ngốc	哑弹
Những đám cháy câm	哑火
Pháo câm	哑炮
Quả tạ	哑铃
Sự náo động	哗然
Anh trai tôi.	哥哥
Gothic	哥特
Lính gác	哨兵
Tiếng còi	哨声
Tiếng còi	哨子
Các tiền đồn	哨所
Tiền đồn	哨站
Những cái nào	哪些
Ở đâu?	哪儿
Trường hợp	哪里
Khóc	哭喊
Tiếng khóc	哭声
Khóc	哭泣
Bệnh hen suyễn	哮喘
Triết học	哲学
Triết lý	哲理
Cho con bú	哺乳
Nghẹn ngào	哽咽
Điện chia buồn	唁电
Son bóng	唇彩
Son môi	唇膏
Môi	唇部
Donna.	唐娜
Downing.	唐宁
Donnie.	唐尼
Downs.	唐斯
Donner.	唐纳
Thắng Kim	唐金
Khơi dậy	唤起
Thức tỉnh	唤醒
Bán sách	售书
Giá bán	售价
Bán hàng	售出
Bán hết	售完
Bán súng	售枪
Việc bán vé	售票
Bán hết	售罄
Bán rượu	售酒
Chỉ có một	唯一
Weir	唯尔
Máy ghi âm	唱机
Tiếng hát	唱歌
Một đoạn văn	唱段
Kỷ lục	唱片
Tiếng hát của người Dao	唱道
Hắt hủi	唾弃
Nước bọt	唾沫
Nước bọt	唾液
Mổ mổ	啄食
Các doanh nghiệp	商业
Các doanh nhân	商人
Phòng Thương mại và Công nghiệp	商会
Thương mại và dân cư	商住
Doanh nghiệp	商务
Các doanh nghiệp	商号
Hàng hóa	商品
Trung tâm mua sắm	商场
Trung tâm thương mại	商城
Thỏa thuận	商定
Các cửa hàng	商店
Thương số	商数
Cơ hội kinh doanh	商机
Nhãn hiệu hàng hóa	商标
Thảo luận	商榷
Luật Thương mại	商法
Thương mại	商用
Cộng đồng doanh nghiệp	商界
Tàu buôn	商船
Các doanh nghiệp	商行
Thiện chí	商誉
Các cuộc thảo luận	商讨
Các cuộc thảo luận	商议
Người bán hàng	商贩
Tham khảo ý kiến	商量
Các cửa hàng kinh doanh	商铺
Đoàn xe du lịch	商队
Nhấm nhâm nhi	啜饮
Bia	啤酒
Chia lưới	啮合
Kazan	喀山
Cho ăn	喂养
Cho con bú	喂奶
Cho ăn	喂料
Cho chó ăn	喂狗
Cho ăn	喂食
Cho ăn	喂饭
Cho cá ăn	喂鱼
Cho hươu ăn	喂鹿
Những việc làm tốt	善举
Những việc làm tốt	善事
Hậu quả của việc khắc phục hậu quả	善后
Đối xử tử tế	善待
Thiện chí	善意
Quản trị tốt	善政
Các khoản đóng góp từ thiện	善款
Quản trị tốt	善治
Lòng nhân ái	善良
Những việc làm tốt	善行
Những chiếc sừng	喇叭
Cổ họng	喉咙
Ung thư thanh quản	喉癌
Cơ quan ngôn luận	喉舌
Thanh quản	喉部
Tiếng la hét	喊叫
Tiếng hò hét	喊声
Những lời kêu gọi	喊话
Hét lên	喊道
Thở khò khè	喘息
Thở hổn hển	喘气
Niềm vui	喜乐
Hạnh phúc	喜人
Hài kịch	喜剧
Sở thích	喜好
Tưng bừng lễ hội	喜庆
Niềm vui	喜悦
Như thế nào.	喜欢
Tình yêu thương	喜爱
Những tín hiệu vui	喜讯
Chim ác là	喜鹊
Những tràng pháo tay	喝彩
Uống nước	喝水
Uống chút gì đi.	喝点
Uống trà	喝茶
Uống rượu	喝酒
Say rượu	喝醉
Tiếng ồn ào	喧哗
Sự hối hả và nhộn nhịp	喧嚣
Tiếng ồn ào	喧闹
Xịt vào	喷入
Phun ra	喷出
Vụ phun trào	喷发
Vòi phun	喷口
Vòi phun	喷嘴
Hắt hơi	喷嚏
Máy in phun	喷墨
Bình tưới nước	喷壶
Vòi phun nước	喷头
Máy bay phản lực	喷射
Súng phun	喷枪
Máy bay phản lực	喷气
Phun nước	喷水
Đài phun nước	喷泉
Phun thuốc	喷洒
Máy bay phản lực	喷流
Phun thuốc	喷涂
Phun trào	喷涌
Phun sơn	喷漆
Phun lửa	喷火
Đèn hàn	喷灯
Xịt khói	喷烟
Phun than	喷煤
Vòi phun	喷管
Phun thuốc	喷雾
Quinoline	喹啉
Khứu giác	嗅出
Khứu giác	嗅觉
Đánh hơi	嗅闻
Tiếng nói	嗓门
Tiếng nói	嗓音
Sở thích	嗜好
Buồn ngủ	嗜睡
ồn ào	嘈杂
Khen thưởng	嘉奖
Khách mời	嘉宾
Gia Lai	嘉莉
Công nhận	嘉许
Tiếng kêu cót két	嘎吱
Những tiếng la ó, la ó.	嘘声
Miệng bíp	嘟嘴
Chế giễu	嘲弄
Chế giễu	嘲笑
Chế giễu	嘲讽
Môi	嘴唇
Miệng bao	嘴套
Miệng	嘴巴
Miệng lại đây.	嘴来
Miệng cười	嘴笑
Miệng	嘴边
Trong miệng	嘴里
Nghẹn ngào	噎住
Khí nhạc	器乐
Các thiết bị	器件
Các thiết bị	器具
Các cơ quan	器官
Thiết bị	器材
Thiết bị	器械
Hiện vật	器物
Đồ dùng	器皿
Ác mộng	噩梦
Tin xấu	噩耗
Tiếng ồn	噪声
Tiếng ồn	噪音
Mánh lới quảng cáo	噱头
Thiophene	噻吩
Thiazole	噻唑
Tiếng hú	嚎叫
Trong túi	囊中
U nang	囊肿
Tù nhân	囚徒
Tù nhân	囚犯
Bị giam cầm	囚禁
Bốn người một	四一
Bốn đời.	四世
Bốn trong số các	四个
Bốn người	四人
Bốn bản sao	四份
Bốn người bị thương	四伤
Bốn vị trí	四位
Bốn lần	四倍
Bốn điểm	四分
Bốn mươi	四十
Bốn miệng	四口
Số bốn	四号
Bốn người	四名
Bốn tuần qua,	四周
Bốn quốc gia	四国
Bốn phiên	四场
Bốn đồng.	四块
Trong bốn ngày	四天
Bốn mùa	四季
Bốn nhà	四家
Những bức ảnh chụp	四射
Bốn vòng đấu	四局
Bốn năm tuổi	四岁
Tứ Xuyên	四川
Trong bốn năm	四年
Bốn đội mạnh nhất	四强
Bốn phần trăm	四成
Bộ tứ	四方
Bốn giờ	四时
Bốn ngôi sao	四星
Bốn đêm	四晚
Tháng Tư	四月
Bốn thanh	四杆
Bốn bài báo	四条
Bốn phát súng	四枪
Bốn lõi	四核
Tầng bốn	四楼
Bốn lần	四次
Bốn mẫu mã	四款
Bốn người chết	四死
Những giọt bắn tung tóe	四溅
Vào lúc bốn giờ	四点
Bốn bàn thắng	四球
Bốn lần	四番
Bốn loại	四种
Bốn chương	四章
Bốn loại	四类
Cấp độ 4	四级
Bốn nhóm	四组
Bốn xilanh	四缸
Các chi	四肢
Tetramine	四胺
Bốn chiếc tàu	四艘
Bốn góc	四角
Bốn vụ	四起
Bốn vòng đấu	四轮
Tetrasodium	四钠
Tetrakalium	四钾
Bốn	四项
Trở về quê hương	回乡
Điều đó đang diễn ra.	回事
Trả lời	回传
Thư trả lời	回信
Đánh trả	回击
Sự phục hồi	回升
Trả lại các hóa đơn	回单
Quay lại đi.	回去
Vòng đấu	回合
Dư vị	回味
Âm vang	回响
Trở về quê hương	回国
Việc san lấp mặt bằng	回填
Tiếng vọng	回声
Trả lời	回复
Nhìn lại	回头
Quay lại đi.	回它
Về nhà đi	回家
Đáp ứng	回应
Phục hồi trở lại	回弹
Sự trở lại của	回归
Những kỷ niệm	回忆
Các khoản giảm giá	回扣
Biên lai	回执
Sự trở lại của	回报
Rút lui	回撤
Tái chế	回收
Phát lại	回放
Trả lời	回敬
Vòng quay	回旋
Sự ấm lên	回暖
Nhìn lại	回望
Trở lại	回来
Trả lại tiền	回款
Tiếng vọng	回波
Dòng chảy trở lại	回流
Hồi tưởng lại	回溯
Hồi sinh	回潮
Trở lại với quả bóng	回球
Tái sử dụng	回用
Nhìn lại	回眸
Trận lượt về	回程
Trả lời	回答
Từ chối	回绝
Rút lui	回缩
Hồi tràng	回肠
Âm vang	回荡
Rơi xuống	回落
Chuyến thăm trở lại	回访
Gọi lại	回调
Mua lại	回购
Vòng lặp	回路
Vòng quay	回转
Sự trở lại của	回返
Tránh né	回避
Trả lại tiền cho	回钱
Tiếng vọng	回音
Nhìn lại	回顾
Phản hồi	回馈
Nhìn lại	回首
Bởi lẽ,	因为
Các yếu tố	因子
Các yếu tố	因数
Ince	因斯
Do đó,	因此
Các yếu tố	因素
Do đó,	因而
Các băng nhóm	团伙
Các nhóm	团体
Các thành viên trong đoàn	团员
Cuộc hội ngộ	团圆
Khối lượng	团块
Sự kết nghĩa	团契
Vé tập thể	团票
Đoàn kết thống nhất	团结
Hội ngộ	团聚
Người đứng đầu	团长
Các đội tuyển	团队
Tích trữ	囤积
Người làm vườn	园丁
Công viên	园区
Đất vườn	园地
Vườn hoa	园林
Làm vườn	园艺
Giám đốc vườn	园长
Bị mắc kẹt	困住
Buồn ngủ	困倦
Thế tiến thoái lưỡng nan	困境
Tình thế tiến thoái lưỡng nan	困局
Lúng túng	困惑
Nỗi ám ảnh	困扰
Vất vả	困苦
Khó khăn	困难
Bao vây xung quanh	围住
Yếm	围兜
Cuộc vây hãm	围困
Bãi cỏ	围场
Bao vây thành phố	围城
Sự ngăn chặn	围堵
Bức tường bao quanh	围墙
Khăn quàng cổ	围巾
Bao vây	围挡
Bắt quả tang	围捕
Cuộc vây hãm	围攻
Hàng rào	围栏
Cờ vây	围棋
Bao vây xung quanh	围着
Hàng rào	围网
Tạp dề	围裙
Người xem	围观
Chất rắn	固体
Kiên cố hóa	固化
Bảo quản cố định	固存
Cố định	固定
Bướng bỉnh	固执
Pha rắn	固相
Cố định màu sắc	固色
Nhà nước và	国与
Giấy chứng nhận quốc gia	国书
Sản xuất trong nước	国产
Quốc hội	国会
Nợ quốc gia	国债
Con thú quốc gia	国兽
Trong nước	国内
Quân đội quốc gia	国军
Quốc gia	国别
Tên quốc gia	国名
Quê hương	国土
Biên giới quốc gia	国境
Ở nước ngoài	国外
Đại học Quốc gia	国大
Bảo vật quốc gia	国宝
Đại tiệc cấp Nhà nước	国宴
Các nước	国家
Kho bạc Nhà nước	国库
Các quốc gia	国度
Điều kiện quốc gia	国情
Quốc giáo	国教
Quốc kỳ	国旗
Quốc phục	国服
Tiêu chuẩn quốc gia	国标
Quốc ca	国歌
Các quốc gia	国民
Nhà vua	国王
Biên giới quốc gia	国界
Quốc tịch	国籍
Inter Milan	国米
Tuyển thủ quốc gia	国脚
Quốc hoa	国花
Món ăn dân tộc	国菜
Nhà nước quản lý	国营
Quốc tang	国葬
Cuộc đua quốc gia	国赛
Quốc lộ	国道
Cửa khẩu quốc gia	国门
Quốc phòng toàn dân	国防
Quốc tế	国际
Hình một	图一
Hình 7	图七
Hình 3	图三
Trong ảnh	图中
Hình ảnh cho thấy	图为
Hình 9	图九
Sách	图书
Hình hai	图二
Hình năm	图五
Chú giải	图例
Hình ảnh	图像
Hình tám	图八
Hình thứ sáu	图六
Thu Lan	图兰
Tugang	图冈
Kế hoạch	图则
Từ Lý	图利
Hình 10	图十
Hình bên phải	图右
Hình 4	图四
Thum	图姆
Tours	图尔
Lớp	图层
Hình ảnh bên trái	图左
Thư viện ảnh	图库
Đồ họa	图形
Tuyên	图恩
Tula	图拉
Ảnh minh họa	图文
Tus	图斯
Tup	图普
Bức tranh	图景
Biểu tượng	图标
Hoa văn	图样
Hoa văn	图案
Tucson	图森
Nguồn ảnh	图源
Turing	图灵
Hình ảnh	图片
Tut	图特
Hình ảnh	图画
Hình minh họa	图示
Con dấu	图章
Tumi	图米
Bản vẽ	图纸
Vật tổ	图腾
Biểu đồ	图表
Minh họa	图解
Kế hoạch	图谋
Tập bản đồ	图谱
Hình ảnh	图象
Turi	图里
Tập bản đồ	图集
Toure	图雷
Vòng tròn	圆圈
Nhà tròn	圆屋
Vòng tròn	圆形
Ngôi nhà tròn	圆房
Làm tròn	圆整
Những khúc gỗ tròn	圆木
Bàn tròn	圆桌
Tròn trịa	圆润
Bóng bẩy, bóng bẩy.	圆滑
Chấm chấm	圆点
Vòng tròn	圆环
Đĩa	圆盘
Các góc tròn	圆角
Hình nón	圆锥
Cưa vòng	圆锯
Mái vòm	圆顶
Trong vòng tròn	圈中
Bên trong vòng tròn	圈内
Vòng tròn	圈出
Những cái bẫy	圈套
Vòng tròn	圈子
Khu nhà bao vây	圈舍
Tốc độ vòng đua	圈速
Trong vòng tròn	圈里
Toulon	土伦
Bọn cướp	土匪
Bánh mì nướng	土司
Đất đai	土地
Những gò đất	土堆
đất	土壤
Sao Thổ	土星
Chó sói đồng cỏ	土狼
Màu đất	土色
Bản địa	土著
Chôn cất	土葬
Khoai tây	土豆
Heo đất	土豚
Con đường đất	土路
Rùa đất	土鳖
Nhà hiền triết	圣人
Những chiếc bánh su	圣代
Hội thánh	圣会
Biểu tượng	圣像
Tuần lễ Thánh	圣周
Thánh địa linh thiêng	圣地
Thành phố linh thiêng	圣城
Các vị thánh	圣徒
Những trái tim thánh thiện	圣心
Thánh chiến	圣战
Chén Thánh	圣杯
Những bài thánh ca	圣歌
Đền thờ	圣殿
Đức mẹ đồng trinh	圣母
Sự thánh thiện	圣洁
Ngọn lửa thiêng	圣火
Sao đặc biệt	圣特
Bí tích	圣礼
Kinh thánh	圣经
Chức vụ linh mục	圣职
Santa Fe	圣菲
Giáng sinh	圣诞
Quan tâm chăm lo	在乎
Nằm trong	在于
Trong thời gian	在位
Trong đó có	在内
Sự hiện diện của	在场
Bên ngoài	在外
Ở nhà	在家
đang xây dựng	在建
Quan tâm	在意
Trong tay	在手
đang bị tạm giữ.	在押
Trong vòng tay	在握
Trên mạng	在线
Trong biên tập	在编
Việc làm	在职
Đang đọc	在读
Trên mặt đất	地上
Dưới lòng đất	地下
Đất đai cho	地为
Chủ nhà	地主
Bất động sản	地产
Tình trạng	地位
Sức mạnh của đất	地力
Địa hình	地势
Xử lý mặt đất	地勤
Các khu vực	地区
Đi đi.	地去
Tên địa danh	地名
Bản đồ	地图
Địa chỉ	地址
Các lô đất	地块
Khu vực	地域
Nền móng	地基
Boongke	地堡
Lớp vỏ trái đất	地壳
Địch Lệ Nhiệt Ba	地奇
Chứng thư đất đai	地契
Đất đai được	地好
Địa tầng	地层
Khu vực	地带
Lớp phủ	地幔
Địa hình	地形
Các địa phương	地方
Đến từ đất	地来
Các tầng	地板
Mốc mốc	地标
Đến mức	地步
Các lô	地段
Những tấm thảm	地毯
Luật Đất đai	地法
Các địa phương	地点
Địa nhiệt	地热
Ngục tối	地牢
Các đối tượng mặt đất	地物
Địa ngục!	地狱
Trái đất	地球
Địa lý	地理
Địa bàn	地盘
Tiền thuê đất	地租
Hầm chứa	地窖
